c at_least_1_color
1 2 3 4 5 6 0
7 8 9 10 11 12 0
13 14 15 16 17 18 0
19 20 21 22 23 24 0
25 26 27 28 29 30 0
31 32 33 34 35 36 0
37 38 39 40 41 42 0
43 44 45 46 47 48 0
49 50 51 52 53 54 0
c at_most_1_color
-3 -11 149 0
-3 11 -149 0
-3 -12 150 0
-3 12 -150 0
-4 -7 151 0
-4 7 -151 0
-4 -8 152 0
-4 8 -152 0
-4 -9 153 0
-4 9 -153 0
-4 -10 154 0
-4 10 -154 0
-4 -11 155 0
-4 11 -155 0
-4 -12 156 0
-4 12 -156 0
-5 -7 157 0
-5 7 -157 0
-5 -8 158 0
-5 8 -158 0
-5 -9 159 0
-5 9 -159 0
-5 -10 160 0
-5 10 -160 0
-5 -11 161 0
-5 11 -161 0
-5 -12 162 0
-5 12 -162 0
-6 -7 163 0
-6 7 -163 0
-6 -8 164 0
-6 8 -164 0
-6 -9 165 0
-6 9 -165 0
-6 -10 166 0
-6 10 -166 0
-6 -11 167 0
-6 11 -167 0
-6 -12 168 0
-6 12 -168 0
-1 -7 313 0
-1 7 -313 0
-1 -8 314 0
-1 8 -314 0
-1 -9 315 0
-1 9 -315 0
-1 -10 316 0
-1 10 -316 0
-1 -11 317 0
-1 11 -317 0
-1 -12 318 0
-1 12 -318 0
-2 -7 319 0
-2 7 -319 0
-2 -8 320 0
-2 8 -320 0
-2 -9 321 0
-2 9 -321 0
-2 -10 322 0
-2 10 -322 0
-2 -11 323 0
-2 11 -323 0
-2 -12 324 0
-2 12 -324 0
-3 -7 325 0
-3 7 -325 0
-3 -8 326 0
-3 8 -326 0
-3 -9 327 0
-3 9 -327 0
-3 -10 328 0
-3 10 -328 0
-3 -11 329 0
-3 11 -329 0
-3 -12 330 0
-3 12 -330 0
-4 -7 331 0
-4 7 -331 0
-4 -8 332 0
-4 8 -332 0
-4 -9 333 0
-4 9 -333 0
-4 -10 334 0
-4 10 -334 0
-4 -11 335 0
-4 11 -335 0
-4 -12 336 0
-4 12 -336 0
-5 -7 337 0
-5 7 -337 0
-5 -8 338 0
-5 8 -338 0
-5 -9 339 0
-5 9 -339 0
-5 -10 340 0
-5 10 -340 0
-5 -11 341 0
-5 11 -341 0
-5 -12 342 0
-5 12 -342 0
-6 -7 343 0
-6 7 -343 0
-6 -8 344 0
-6 8 -344 0
-6 -9 345 0
-6 9 -345 0
-6 -10 346 0
-6 10 -346 0
-6 -11 347 0
-6 11 -347 0
-6 -12 348 0
-6 12 -348 0
-1 -7 421 0
-1 7 -421 0
-1 -8 422 0
-1 8 -422 0
-1 -9 423 0
-1 9 -423 0
-1 -10 424 0
-1 10 -424 0
-1 -11 425 0
-1 11 -425 0
-1 -12 426 0
-1 12 -426 0
-2 -7 427 0
-2 7 -427 0
-2 -8 428 0
-2 8 -428 0
-2 -9 429 0
-2 9 -429 0
-2 -10 430 0
-2 10 -430 0
-2 -11 431 0
-2 11 -431 0
-2 -12 432 0
-2 12 -432 0
-3 -7 433 0
-3 7 -433 0
-3 -8 434 0
-3 8 -434 0
-3 -9 435 0
-3 9 -435 0
-3 -10 436 0
-3 10 -436 0
-3 -11 437 0
-3 11 -437 0
-3 -12 438 0
-3 12 -438 0
-4 -7 439 0
-4 7 -439 0
-4 -8 440 0
-4 8 -440 0
-4 -9 441 0
-4 9 -441 0
-4 -10 442 0
-4 10 -442 0
-4 -11 443 0
-4 11 -443 0
-4 -12 444 0
-4 12 -444 0
-5 -7 445 0
-5 7 -445 0
-5 -8 446 0
-5 8 -446 0
-5 -9 447 0
-5 9 -447 0
-5 -10 448 0
-5 10 -448 0
-5 -11 449 0
-5 11 -449 0
-5 -12 450 0
-5 12 -450 0
-6 -7 451 0
-6 7 -451 0
-6 -8 452 0
-6 8 -452 0
-6 -9 453 0
-6 9 -453 0
-6 -10 454 0
-6 10 -454 0
-6 -11 455 0
-6 11 -455 0
-6 -12 456 0
-6 12 -456 0
-1 -1 169 0
-1 1 -169 0
-1 -2 170 0
-1 2 -170 0
-1 -3 171 0
-1 3 -171 0
-1 -4 172 0
-1 4 -172 0
-1 -5 173 0
-1 5 -173 0
-1 -6 174 0
-1 6 -174 0
-2 -1 175 0
-2 1 -175 0
-2 -2 176 0
-2 2 -176 0
-2 -3 177 0
-2 3 -177 0
-2 -4 178 0
-2 4 -178 0
-2 -5 179 0
-2 5 -179 0
-2 -6 180 0
-2 6 -180 0
-3 -1 181 0
-3 1 -181 0
-3 -2 182 0
-3 2 -182 0
-3 -3 183 0
-3 3 -183 0
-3 -4 184 0
-3 4 -184 0
-3 -5 185 0
-3 5 -185 0
-3 -6 186 0
-3 6 -186 0
-4 -1 187 0
-4 1 -187 0
-4 -2 188 0
-4 2 -188 0
-4 -3 189 0
-4 3 -189 0
-4 -4 190 0
-4 4 -190 0
-4 -5 191 0
-4 5 -191 0
-4 -6 192 0
-4 6 -192 0
-5 -1 193 0
-5 1 -193 0
-5 -2 194 0
-5 2 -194 0
-5 -3 195 0
-5 3 -195 0
-5 -4 196 0
-5 4 -196 0
-5 -5 197 0
-5 5 -197 0
-5 -6 198 0
-5 6 -198 0
-6 -1 199 0
-6 1 -199 0
-6 -2 200 0
-6 2 -200 0
-6 -3 201 0
-6 3 -201 0
-6 -4 202 0
-6 4 -202 0
-6 -5 203 0
-6 5 -203 0
-6 -6 204 0
-6 6 -204 0
-1 -1 277 0
-1 1 -277 0
-1 -2 278 0
-1 2 -278 0
-1 -3 279 0
-1 3 -279 0
-1 -4 280 0
-1 4 -280 0
-1 -5 281 0
-1 5 -281 0
-1 -6 282 0
-1 6 -282 0
-2 -1 283 0
-2 1 -283 0
-2 -2 284 0
-2 2 -284 0
-2 -3 285 0
-2 3 -285 0
-2 -4 286 0
-2 4 -286 0
-2 -5 287 0
-2 5 -287 0
-2 -6 288 0
-2 6 -288 0
-3 -1 289 0
-3 1 -289 0
-3 -2 290 0
-3 2 -290 0
-3 -3 291 0
-3 3 -291 0
-3 -4 292 0
-3 4 -292 0
-3 -5 293 0
-3 5 -293 0
-3 -6 294 0
-3 6 -294 0
-4 -1 295 0
-4 1 -295 0
-4 -2 296 0
-4 2 -296 0
-4 -3 297 0
-4 3 -297 0
-4 -4 298 0
-4 4 -298 0
-4 -5 299 0
-4 5 -299 0
-4 -6 300 0
-4 6 -300 0
-5 -1 301 0
-5 1 -301 0
-5 -2 302 0
-5 2 -302 0
-5 -3 303 0
-5 3 -303 0
-5 -4 304 0
-5 4 -304 0
-5 -5 305 0
-5 5 -305 0
-5 -6 306 0
-5 6 -306 0
-6 -1 307 0
-6 1 -307 0
-6 -2 308 0
-6 2 -308 0
-6 -3 309 0
-6 3 -309 0
-6 -4 310 0
-6 4 -310 0
-6 -5 311 0
-6 5 -311 0
-6 -6 312 0
-6 6 -312 0
-13 -25 313 0
-13 25 -313 0
-13 -26 314 0
-13 26 -314 0
-13 -27 315 0
-13 27 -315 0
-13 -28 316 0
-13 28 -316 0
-13 -29 317 0
-13 29 -317 0
-13 -30 318 0
-13 30 -318 0
-14 -25 319 0
-14 25 -319 0
-14 -26 320 0
-14 26 -320 0
-14 -27 321 0
-14 27 -321 0
-14 -28 322 0
-14 28 -322 0
-14 -29 323 0
-14 29 -323 0
-14 -30 324 0
-14 30 -324 0
-15 -25 325 0
-15 25 -325 0
-15 -26 326 0
-15 26 -326 0
-15 -27 327 0
-15 27 -327 0
-15 -28 328 0
-15 28 -328 0
-15 -29 329 0
-15 29 -329 0
-15 -30 330 0
-15 30 -330 0
-16 -25 331 0
-16 25 -331 0
-16 -26 332 0
-16 26 -332 0
-16 -27 333 0
-16 27 -333 0
-16 -28 334 0
-16 28 -334 0
-16 -29 335 0
-16 29 -335 0
-16 -30 336 0
-16 30 -336 0
-17 -25 337 0
-17 25 -337 0
-17 -26 338 0
-17 26 -338 0
-17 -27 339 0
-17 27 -339 0
-17 -28 340 0
-17 28 -340 0
-17 -29 341 0
-17 29 -341 0
-17 -30 342 0
-17 30 -342 0
-18 -25 343 0
-18 25 -343 0
-18 -26 344 0
-18 26 -344 0
-18 -27 345 0
-18 27 -345 0
-18 -28 346 0
-18 28 -346 0
-18 -29 347 0
-18 29 -347 0
-18 -30 348 0
-18 30 -348 0
-13 -31 205 0
-13 31 -205 0
-13 -32 206 0
-13 32 -206 0
-13 -33 207 0
-13 33 -207 0
-13 -34 208 0
-13 34 -208 0
-13 -35 209 0
-13 35 -209 0
-13 -36 210 0
-13 36 -210 0
-14 -31 211 0
-14 31 -211 0
-14 -32 212 0
-14 32 -212 0
-14 -33 213 0
-14 33 -213 0
-14 -34 214 0
-14 34 -214 0
-14 -35 215 0
-14 35 -215 0
-14 -36 216 0
-14 36 -216 0
-15 -31 217 0
-15 31 -217 0
-15 -32 218 0
-15 32 -218 0
-15 -33 219 0
-15 33 -219 0
-15 -34 220 0
-15 34 -220 0
-15 -35 221 0
-15 35 -221 0
-15 -36 222 0
-15 36 -222 0
-16 -31 223 0
-16 31 -223 0
-16 -32 224 0
-16 32 -224 0
-16 -33 225 0
-16 33 -225 0
-16 -34 226 0
-16 34 -226 0
-16 -35 227 0
-16 35 -227 0
-16 -36 228 0
-16 36 -228 0
-17 -31 229 0
-17 31 -229 0
-17 -32 230 0
-17 32 -230 0
-17 -33 231 0
-17 33 -231 0
-17 -34 232 0
-17 34 -232 0
-17 -35 233 0
-17 35 -233 0
-17 -36 234 0
-17 36 -234 0
-18 -31 235 0
-18 31 -235 0
-18 -32 236 0
-18 32 -236 0
-18 -33 237 0
-18 33 -237 0
-18 -34 238 0
-18 34 -238 0
-18 -35 239 0
-18 35 -239 0
-18 -36 240 0
-18 36 -240 0
-13 -49 421 0
-13 49 -421 0
-13 -50 422 0
-13 50 -422 0
-13 -51 423 0
-13 51 -423 0
-13 -52 424 0
-13 52 -424 0
-13 -53 425 0
-13 53 -425 0
-13 -54 426 0
-13 54 -426 0
-14 -49 427 0
-14 49 -427 0
-14 -50 428 0
-14 50 -428 0
-14 -51 429 0
-14 51 -429 0
-14 -52 430 0
-14 52 -430 0
-14 -53 431 0
-14 53 -431 0
-14 -54 432 0
-14 54 -432 0
-15 -49 433 0
-15 49 -433 0
-15 -50 434 0
-15 50 -434 0
-15 -51 435 0
-15 51 -435 0
-15 -52 436 0
-15 52 -436 0
-15 -53 437 0
-15 53 -437 0
-15 -54 438 0
-15 54 -438 0
-16 -49 439 0
-16 49 -439 0
-16 -50 440 0
-16 50 -440 0
-16 -51 441 0
-16 51 -441 0
-16 -52 442 0
-16 52 -442 0
-16 -53 443 0
-16 53 -443 0
-16 -54 444 0
-16 54 -444 0
-17 -49 445 0
-17 49 -445 0
-17 -50 446 0
-17 50 -446 0
-17 -51 447 0
-17 51 -447 0
-17 -52 448 0
-17 52 -448 0
-17 -53 449 0
-17 53 -449 0
-17 -54 450 0
-17 54 -450 0
-18 -49 451 0
-18 49 -451 0
-18 -50 452 0
-18 50 -452 0
-18 -51 453 0
-18 51 -453 0
-18 -52 454 0
-18 52 -454 0
-18 -53 455 0
-18 53 -455 0
-18 -54 456 0
-18 54 -456 0
-13 -7 133 0
-13 7 -133 0
-13 -8 134 0
-13 8 -134 0
-13 -9 135 0
-13 9 -135 0
-13 -10 136 0
-13 10 -136 0
-13 -11 137 0
-13 11 -137 0
-13 -12 138 0
-13 12 -138 0
-14 -7 139 0
-14 7 -139 0
-14 -8 140 0
-14 8 -140 0
-14 -9 141 0
-14 9 -141 0
-14 -10 142 0
-14 10 -142 0
-14 -11 143 0
-14 11 -143 0
-14 -12 144 0
-14 12 -144 0
-15 -7 145 0
-15 7 -145 0
-15 -8 146 0
-15 8 -146 0
-15 -9 147 0
-15 9 -147 0
-15 -10 148 0
-15 10 -148 0
-15 -11 149 0
-15 11 -149 0
-15 -12 150 0
-15 12 -150 0
-16 -7 151 0
-16 7 -151 0
-16 -8 152 0
-16 8 -152 0
-16 -9 153 0
-16 9 -153 0
-16 -10 154 0
-16 10 -154 0
-16 -11 155 0
-16 11 -155 0
-16 -12 156 0
-16 12 -156 0
-17 -7 157 0
-17 7 -157 0
-17 -8 158 0
-17 8 -158 0
-17 -9 159 0
-17 9 -159 0
-17 -10 160 0
-17 10 -160 0
-17 -11 161 0
-17 11 -161 0
-17 -12 162 0
-17 12 -162 0
-18 -7 163 0
-18 7 -163 0
-18 -8 164 0
-18 8 -164 0
-18 -9 165 0
-18 9 -165 0
-18 -10 166 0
-18 10 -166 0
-18 -11 167 0
-18 11 -167 0
-18 -12 168 0
-18 12 -168 0
-13 -7 277 0
-13 7 -277 0
-13 -8 278 0
-13 8 -278 0
-13 -9 279 0
-13 9 -279 0
-13 -10 280 0
-13 10 -280 0
-13 -11 281 0
-13 11 -281 0
-13 -12 282 0
-13 12 -282 0
-14 -7 283 0
-14 7 -283 0
-14 -8 284 0
-14 8 -284 0
-14 -9 285 0
-14 9 -285 0
-14 -10 286 0
-14 10 -286 0
-14 -11 287 0
-14 11 -287 0
-14 -12 288 0
-14 12 -288 0
-15 -7 289 0
-15 7 -289 0
-15 -8 290 0
-15 8 -290 0
-15 -9 291 0
-15 9 -291 0
-15 -10 292 0
-15 10 -292 0
-15 -11 293 0
-15 11 -293 0
-15 -12 294 0
-15 12 -294 0
-16 -7 295 0
-16 7 -295 0
-16 -8 296 0
-16 8 -296 0
-16 -9 297 0
-16 9 -297 0
-16 -10 298 0
-16 10 -298 0
-16 -11 299 0
-16 11 -299 0
-16 -12 300 0
-16 12 -300 0
-17 -7 301 0
-17 7 -301 0
-17 -8 302 0
-17 8 -302 0
-17 -9 303 0
-17 9 -303 0
-17 -10 304 0
-17 10 -304 0
-17 -11 305 0
-17 11 -305 0
-17 -12 306 0
-17 12 -306 0
-18 -7 307 0
-18 7 -307 0
-18 -8 308 0
-18 8 -308 0
-18 -9 309 0
-18 9 -309 0
-18 -10 310 0
-18 10 -310 0
-18 -11 311 0
-18 11 -311 0
-18 -12 312 0
-18 12 -312 0
-13 -7 385 0
-13 7 -385 0
-13 -8 386 0
-13 8 -386 0
-13 -9 387 0
-13 9 -387 0
-13 -10 388 0
-13 10 -388 0
-13 -11 389 0
-13 11 -389 0
-13 -12 390 0
-13 12 -390 0
-14 -7 391 0
-14 7 -391 0
-14 -8 392 0
-14 8 -392 0
-14 -9 393 0
-14 9 -393 0
-14 -10 394 0
-14 10 -394 0
-14 -11 395 0
-14 11 -395 0
-14 -12 396 0
-14 12 -396 0
-15 -7 397 0
-15 7 -397 0
-15 -8 398 0
-15 8 -398 0
-15 -9 399 0
-15 9 -399 0
-15 -10 400 0
-15 10 -400 0
-15 -11 401 0
-15 11 -401 0
